'Request type'	'Load'	'Bucket'	'Start time'	'Absolute'	'Percent of requests'	'End time'	'Absolute'	'Percent of requests'	'Residence time'	'Absolute'	'Percent of requests'	'Theor. think time'	'Absolute'	'Percent of requests'	'Actual think time'	'Absolute'	'Percent of requests'
SaaSRequest	200	0	2523.0	268	1.285803387228326	2523.0	88	0.42220409729885333	175.5	511	2.451662428633114	3.0	20843	100.0	3.0	20843	100.0
SaaSRequest	200	1	7569.0	103	0.4941707047929761	7569.0	100	0.47977738329415154	526.5	1309	6.2802859473204435	9.0	0	0.0	9.0	0	0.0
SaaSRequest	200	2	12615.0	94	0.45099074029650243	12615.0	96	0.46058628796238543	877.5	910	4.365974187976779	15.0	0	0.0	15.0	0	0.0
SaaSRequest	200	3	17661.0	97	0.465384061795327	17661.0	96	0.46058628796238543	1228.5	931	4.466727438468551	21.0	0	0.0	21.0	0	0.0
SaaSRequest	200	4	22707.0	87	0.41740632346591183	22707.0	84	0.4030130019670873	1579.5	665	3.1905195989061075	27.0	0	0.0	27.0	0	0.0
SaaSRequest	200	5	27753.0	90	0.4317996449647364	27753.0	96	0.46058628796238543	1930.5	637	3.0561819315837453	33.0	0	0.0	33.0	0	0.0
SaaSRequest	200	6	32799.0	97	0.465384061795327	32799.0	94	0.45099074029650243	2281.5	507	2.4324713333013483	39.0	0	0.0	39.0	0	0.0
SaaSRequest	200	7	37845.0	91	0.4365974187976779	37845.0	88	0.42220409729885333	2632.5	801	3.8430168401861535	45.0	0	0.0	45.0	0	0.0
SaaSRequest	200	8	42891.0	89	0.42700187113179483	42891.0	98	0.4701818356282685	2983.5	548	2.6291800604519504	51.0	0	0.0	51.0	0	0.0
SaaSRequest	200	9	47937.0	119	0.5709350861200403	47937.0	118	0.5661373122870988	3334.5	608	2.9170464904284414	57.0	0	0.0	57.0	0	0.0
SaaSRequest	200	10	52983.0	120	0.5757328599529818	52983.0	117	0.5613395384541573	3685.5	414	1.9862783668377872	63.0	0	0.0	63.0	0	0.0
SaaSRequest	200	11	58029.0	114	0.5469462169553327	58029.0	116	0.5565417646212157	4036.5	482	2.3125269874778103	69.0	0	0.0	69.0	0	0.0
SaaSRequest	200	12	63075.0	95	0.45578851412944393	63075.0	93	0.44619296646356094	4387.5	374	1.7943674135201266	75.0	0	0.0	75.0	0	0.0
SaaSRequest	200	13	68121.0	109	0.5229573477906252	68121.0	110	0.5277551216235666	4738.5	491	2.355706951974284	81.0	0	0.0	81.0	0	0.0
SaaSRequest	200	14	73167.0	110	0.5277551216235666	73167.0	113	0.5421484431223912	5089.5	343	1.6456364246989397	87.0	0	0.0	87.0	0	0.0
SaaSRequest	200	15	78213.0	114	0.5469462169553327	78213.0	111	0.5325528954565082	5440.5	362	1.7367941275248284	93.0	0	0.0	93.0	0	0.0
SaaSRequest	200	16	83259.0	111	0.5325528954565082	83259.0	114	0.5469462169553327	5791.5	258	1.237825648898911	99.0	0	0.0	99.0	0	0.0
SaaSRequest	200	17	88305.0	118	0.5661373122870988	88305.0	113	0.5421484431223912	6142.5	373	1.7895696396871852	105.0	0	0.0	105.0	0	0.0
SaaSRequest	200	18	93351.0	91	0.4365974187976779	93351.0	92	0.4413951926306194	6493.5	270	1.2953989348942092	111.0	0	0.0	111.0	0	0.0
SaaSRequest	200	19	98397.0	94	0.45099074029650243	98397.0	90	0.4317996449647364	6844.5	351	1.6840186153624719	117.0	0	0.0	117.0	0	0.0
SaaSRequest	200	20	103443.0	81	0.38861968046826273	103443.0	85	0.4078107758000288	7195.5	238	1.1418701722400806	123.0	0	0.0	123.0	0	0.0
SaaSRequest	200	21	108489.0	99	0.47497960946121	108489.0	98	0.4701818356282685	7546.5	314	1.5065009835436358	129.0	0	0.0	129.0	0	0.0
SaaSRequest	200	22	113535.0	95	0.45578851412944393	113535.0	99	0.47497960946121	7897.5	262	1.257016744230677	135.0	0	0.0	135.0	0	0.0
SaaSRequest	200	23	118581.0	93	0.44619296646356094	118581.0	83	0.3982152281341458	8248.5	323	1.5496809480401095	141.0	0	0.0	141.0	0	0.0
SaaSRequest	200	24	123627.0	86	0.41260854963297033	123627.0	95	0.45578851412944393	8599.5	236	1.1322746245741977	147.0	0	0.0	147.0	0	0.0
SaaSRequest	200	25	128673.0	90	0.4317996449647364	128673.0	91	0.4365974187976779	8950.5	298	1.4297366022165716	153.0	0	0.0	153.0	0	0.0
SaaSRequest	200	26	133719.0	122	0.5853284076188648	133719.0	126	0.604519502950631	9301.5	195	0.9355658974235954	159.0	0	0.0	159.0	0	0.0
SaaSRequest	200	27	138765.0	118	0.5661373122870988	138765.0	114	0.5469462169553327	9652.5	255	1.2234323274000865	165.0	0	0.0	165.0	0	0.0
SaaSRequest	200	28	143811.0	115	0.5517439907882743	143811.0	119	0.5709350861200403	10003.5	171	0.8204193254329991	171.0	0	0.0	171.0	0	0.0
SaaSRequest	200	29	148857.0	118	0.5661373122870988	148857.0	115	0.5517439907882743	10354.5	266	1.276207839562443	177.0	0	0.0	177.0	0	0.0
SaaSRequest	200	30	153903.0	120	0.5757328599529818	153903.0	119	0.5709350861200403	10705.5	227	1.089094660077724	183.0	0	0.0	183.0	0	0.0
SaaSRequest	200	31	158949.0	116	0.5565417646212157	158949.0	120	0.5757328599529818	11056.5	337	1.6168497817012906	189.0	0	0.0	189.0	0	0.0
SaaSRequest	200	32	163995.0	133	0.6381039197812215	163995.0	129	0.6189128244494555	11407.5	278	1.3337811255577412	195.0	0	0.0	195.0	0	0.0
